VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_12	ZSO1STw4OBk_12	54.7	58.767	Innovation is important for achieving the five goals
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_13	ZSO1STw4OBk_13	58.767	63.667	of the GSP aimed to increase student enrollment,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_14	ZSO1STw4OBk_14	63.667	66.9	increase graduation rates, expand funding,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_15	ZSO1STw4OBk_15	66.9	70.633	optimize career success for students,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_16	ZSO1STw4OBk_16	70.633	74.333	and to advance in research and development.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_17	ZSO1STw4OBk_17	74.333	79.8	We need you to share your ideas between now and June.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_18	ZSO1STw4OBk_18	82.934	86.266	There are two key words
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_19	ZSO1STw4OBk_19	86.266	88.0	that we need to pay attention to:
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_20	ZSO1STw4OBk_20	88.0	91.166	transformation and innovation.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_21	ZSO1STw4OBk_21	91.166	93.6	Here's a way to think about those words.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_22	ZSO1STw4OBk_22	93.6	95.3	Imagine a butterfly.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_23	ZSO1STw4OBk_23	95.3	99.967	A butterfly is not a caterpillar with wings attached.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_24	ZSO1STw4OBk_24	99.967	102.9	The caterpillar must transform
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_25	ZSO1STw4OBk_25	102.9	105.0	to become the butterfly.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_26	ZSO1STw4OBk_26	105.0	107.567	It must change significantly.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_27	ZSO1STw4OBk_27	107.567	110.734	That's what transformation is - significant changes
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_28	ZSO1STw4OBk_28	110.734	115.867	that create new ways of thinking, new ways of working,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_29	ZSO1STw4OBk_29	115.867	117.967	and new ways of helping the university
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_30	ZSO1STw4OBk_30	117.967	121.2	achieve its strategic goals.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_31	ZSO1STw4OBk_31	121.2	125.367	"Those ""new ways"" are your innovative ideas."
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_32	ZSO1STw4OBk_32	125.367	129.266	Proposing small changes to programs and departments
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_33	ZSO1STw4OBk_33	129.266	131.533	is not innovation.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_34	ZSO1STw4OBk_34	131.533	135.133	Proposing to keep everything we have
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_35	ZSO1STw4OBk_35	135.133	138.834	but with small adjustments is not innovation.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_36	ZSO1STw4OBk_36	138.834	141.367	Innovation requires big ideas
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_37	ZSO1STw4OBk_37	141.367	143.567	that will transform the university.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_38	ZSO1STw4OBk_38	143.567	149.4	So, please, think big, think new, and think innovative.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_39	ZSO1STw4OBk_39	152.066	154.533	Gallaudet needs change.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_40	ZSO1STw4OBk_40	154.533	159.667	There is no limit to innovation except our imagination.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_41	ZSO1STw4OBk_41	159.667	163.066	We will be open to all innovative ideas,
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_42	ZSO1STw4OBk_42	163.066	168.533	whether it is big or small, or whether it is in the interest
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_43	ZSO1STw4OBk_43	168.533	174.767	of the University, department, or individual.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_44	ZSO1STw4OBk_44	176.8	180.967	Hi! My name is Tammy Weiner.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_45	ZSO1STw4OBk_45	180.967	182.667	Let's transform Gallaudet!
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_46	ZSO1STw4OBk_46	184.333	187.133	Hi, my name is Daniel Koo.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_47	ZSO1STw4OBk_47	187.133	189.4	Innovative ideas are welcome!
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_48	ZSO1STw4OBk_48	190.5	197.266	Hello, my name is Hansel Bauman.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_49	ZSO1STw4OBk_49	197.266	201.9	I'm here to help build a new Gallaudet.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_50	ZSO1STw4OBk_50	205.033	207.567	Hi! I'm Lizzie.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_51	ZSO1STw4OBk_51	207.567	211.033	I cherish Gallaudet and we cherish your ideas too.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_52	ZSO1STw4OBk_52	212.3	216.867	There are several ways to submit your innovative ideas -
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_53	ZSO1STw4OBk_53	216.867	221.767	email or go to IRT's website
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_54	ZSO1STw4OBk_54	221.767	225.867	and post your ideas in ASL or English.
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_55	ZSO1STw4OBk_55	225.867	228.5	We want your innovative ideas!
ZSO1STw4OBk	ZSO1STw4OBk	ZSO1STw4OBk_56	ZSO1STw4OBk_56	228.5	229.9	Thank you.
