vid	yid	start	end	raw-text	tokenized-text	gloss	split
G2tzMT1j0gI-00:01:53.200-00:01:58.500	G2tzMT1j0gI	00:01:53.200	00:01:58.500	If your preferred interpreters are not available, your boss should ask for a list of available interpreters.	if your preferred interpreters are not available your boss should ask for a list of available interpreters		train
G2tzMT1j0gI-00:01:38.819-00:01:46.579	G2tzMT1j0gI	00:01:38.819	00:01:46.579	If you need ASL access, the ASL interpreters should be on the video platform with everyone.	if you need asl access the asl interpreters should be on the video platform with everyone		train
G2tzMT1j0gI-00:01:32.359-00:01:38.060	G2tzMT1j0gI	00:01:32.359	00:01:38.060	Next, I will expand more on ASL access, video relay services, captioning, and resources available.	next i will expand more on asl access video relay services captioning and resources available		train
G2tzMT1j0gI-00:01:25.959-00:01:31.159	G2tzMT1j0gI	00:01:25.959	00:01:31.159	Before the meeting, tell your boss or the meeting host which accessibility features you need that best fits you.	before the meeting tell your boss or the meeting host which accessibility features you need that best fits you		train
G2tzMT1j0gI-00:01:17.319-00:01:25.959	G2tzMT1j0gI	00:01:17.319	00:01:25.959	There are different accessibility features -- it is important to make sure that the type of access your boss provides best fits your needs.	there are different accessibility features -- it is important to make sure that the type of access your boss provides best fits your needs		train
G2tzMT1j0gI-00:01:10.719-00:01:16.439	G2tzMT1j0gI	00:01:10.719	00:01:16.439	We also developed recommendations for employers on how to host a video meeting if they have deaf and hard of hearing employees.	we also developed recommendations for employers on how to host a video meeting if they have deaf and hard of hearing employees		train
G2tzMT1j0gI-00:01:08.560-00:01:10.719	G2tzMT1j0gI	00:01:08.560	00:01:10.719	The grid is available online and you can share this grid with your boss or the meeting host.	the grid is available online and you can share this grid with your boss or the meeting host		train
G2tzMT1j0gI-00:01:02.920-00:01:08.560	G2tzMT1j0gI	00:01:02.920	00:01:08.560	We developed a grid that shows which accessibility features each platform has or does not have.	we developed a grid that shows which accessibility features each platform has or does not have		train
G2tzMT1j0gI-00:01:00.520-00:01:02.920	G2tzMT1j0gI	00:01:00.520	00:01:02.920	You should compare which platforms will work better for you.	you should compare which platforms will work better for you		train
G2tzMT1j0gI-00:00:55.679-00:01:00.520	G2tzMT1j0gI	00:00:55.679	00:01:00.520	Some platforms provide better access than others for deaf and hard of hearing people.	some platforms provide better access than others for deaf and hard of hearing people		train
G2tzMT1j0gI-00:03:00.379-00:03:08.139	G2tzMT1j0gI	00:03:00.379	00:03:08.139	Similar to our recommendations for hiring interpreters,  you can suggest your preferred captioners or captioning company with your boss.	similar to our recommendations for hiring interpreters you can suggest your preferred captioners or captioning company with your boss		train
G2tzMT1j0gI-00:03:13.939-00:03:16.719	G2tzMT1j0gI	00:03:13.939	00:03:16.719	Your boss should hire a professional CART company or captioner to join the meeting.	your boss should hire a professional cart company or captioner to join the meeting		train
G2tzMT1j0gI-00:03:17.360-00:03:23.800	G2tzMT1j0gI	00:03:17.360	00:03:23.800	Before the meeting, you should share with your captioner what topics will be discussed, names to expect, for the captioner to be better prepared for your meeting.	before the meeting you should share with your captioner what topics will be discussed names to expect for the captioner to be better prepared for your meeting		train
G2tzMT1j0gI-00:03:23.800-00:03:25.580	G2tzMT1j0gI	00:03:23.800	00:03:25.580	With information, your captioner is able to provide you a smooth meeting experience with captions.	with information your captioner is able to provide you a smooth meeting experience with captions		train
AKnhk5o_gB8-00:01:03.740-00:01:09.719	AKnhk5o_gB8	00:01:03.740	00:01:09.719	Public accommodations cannot require deaf and hard of hearing people to pay to cover for these services/equipment.	public accommodations can not require deaf and hard of hearing people to pay to cover for these services equipment		train
AKnhk5o_gB8-00:00:56.679-00:01:03.740	AKnhk5o_gB8	00:00:56.679	00:01:03.740	Essentially, they are required to ensure that deaf and hard of hearing people have access to information being presented audibly.	essentially they are required to ensure that deaf and hard of hearing people have access to information being presented audibly		train
AKnhk5o_gB8-00:00:41.560-00:00:56.679	AKnhk5o_gB8	00:00:41.560	00:00:56.679	The businesses must provide auxiliary aids and services if necessary to ensure effective communication such as qualified interpreters, CART, accepting relay calls, flashing alarm systems and so forth.	the businesses must provide auxiliary aids and services if necessary to ensure effective communication such as qualified interpreters cart accepting relay calls flashing alarm systems and so forth		train
AKnhk5o_gB8-00:00:33.420-00:00:41.560	AKnhk5o_gB8	00:00:33.420	00:00:41.560	Title III benefits deaf and hard of hearing individuals by requiring public accommodations to ensure effective communication.	title iii benefits deaf and hard of hearing individuals by requiring public accommodations to ensure effective communication		train
AKnhk5o_gB8-00:00:30.841-00:00:32.473	AKnhk5o_gB8	00:00:30.841	00:00:32.473	The law applies to all public accommodations, including those with only one employee.	the law applies to all public accommodations including those with only one employee		train
AKnhk5o_gB8-00:00:25.900-00:00:30.841	AKnhk5o_gB8	00:00:25.900	00:00:30.841	Unlike Title I for employment, which covers only entities with 15 or more employees Title III does not have a minimum number of employees requirement.	unlike title i for employment which covers only entities with 15 or more employees title iii does not have a minimum number of employees requirement		train
AKnhk5o_gB8-00:00:21.881-00:00:25.900	AKnhk5o_gB8	00:00:21.881	00:00:25.900	Title III covers both for profits and non-profit organizations.	title iii covers both for profits and non profit organizations		train
AKnhk5o_gB8-00:00:12.441-00:00:21.881	AKnhk5o_gB8	00:00:12.441	00:00:21.881	Examples of public accommodations include hospitals, doctor offices, laundromats, theaters, movie theaters private schools and universities, and many more.	examples of public accommodations include hospitals doctor offices laundromats theaters movie theaters private schools and universities and many more		train
AKnhk5o_gB8-00:00:04.560-00:00:12.441	AKnhk5o_gB8	00:00:04.560	00:00:12.441	Title III of the ADA applies to places of public accommodations or privately run business open to the public.	title iii of the ada applies to places of public accommodations or privately run business open to the public		train
G2tzMT1j0gI-00:00:52.390-00:00:55.679	G2tzMT1j0gI	00:00:52.390	00:00:55.679	You should pick the platform that best fits your needs.	you should pick the platform that best fits your needs		train
G2tzMT1j0gI-00:04:36.279-00:04:38.699	G2tzMT1j0gI	00:04:36.279	00:04:38.699	You can share the list of resources with your boss.	you can share the list of resources with your boss		train
G2tzMT1j0gI-00:04:32.459-00:04:34.279	G2tzMT1j0gI	00:04:32.459	00:04:34.279	We do not endorse these providers.	we do not endorse these providers		train
G2tzMT1j0gI-00:04:24.220-00:04:32.459	G2tzMT1j0gI	00:04:24.220	00:04:32.459	Next, we have a list of some CART, VRS, and IP-CTS providers in Appendix A which you can find online.	next we have a list of some cart vrs and ip-cts providers in appendix a which you can find online		train
G2tzMT1j0gI-00:04:19.259-00:04:23.220	G2tzMT1j0gI	00:04:19.259	00:04:23.220	This means IP-CTS captioners will not see what is happening.	this means ip cts captioners will not see what is happening		train
G2tzMT1j0gI-00:04:17.180-00:04:19.259	G2tzMT1j0gI	00:04:17.180	00:04:19.259	Using IP-CTS means the captioner will not be in the video platform with everyone, they will be on a separate screen.	using ip-cts means the captioner will not be in the video platform with everyone they will be on a separate screen		train
G2tzMT1j0gI-00:04:09.039-00:04:17.180	G2tzMT1j0gI	00:04:09.039	00:04:17.180	Internet Protocol Captioned Telephone Services (IP-CTS) should not be used for video meetings.	internet protocol captioned telephone services ip-cts should not be used for video meetings		train
G2tzMT1j0gI-00:04:04.280-00:04:07.699	G2tzMT1j0gI	00:04:04.280	00:04:07.699	You can find more information on RCC in the recommendations for employers.	you can find more information on rcc in the recommendations for employers		train
G2tzMT1j0gI-00:03:41.860-00:04:03.860	G2tzMT1j0gI	00:03:41.860	00:04:03.860	If you work for a private company, need captioning for your video meeting, and live in Arizona, Colorado, Connecticut, Florida, Hawaii, Maryland, Maine, Montana, Missouri, New Jersey, North Carolina, Rhode Island, South Dakota, Vermont, Virginia, West Virginia, and Wyoming -- you can use RCC.	if you work for a private company need captioning for your video meeting and live in arizona colorado connecticut florida hawaii maryland maine montana missouri new jersey north carolina rhode island south dakota vermont virginia west virginia and wyoming -- you can use rcc		train
G2tzMT1j0gI-00:03:38.379-00:03:41.259	G2tzMT1j0gI	00:03:38.379	00:03:41.259	Check with your boss to see if your agency provides RCC.	check with your boss to see if your agency provides rcc		train
G2tzMT1j0gI-00:03:26.139-00:03:38.379	G2tzMT1j0gI	00:03:26.139	00:03:38.379	If you work for the Federal Government, you may be able to get captioning for video meetings through Relay Conference Captioning (RCC) -- however, only some federal agencies provide this service.	if you work for the federal government you may be able to get captioning for video meetings through relay conference captioning rcc -- however only some federal agencies provide this service		train
G2tzMT1j0gI-00:04:34.279-00:04:36.279	G2tzMT1j0gI	00:04:34.279	00:04:36.279	We are sharing the list as a resource to help you find what you need.	we are sharing the list as a resource to help you find what you need		train
G2tzMT1j0gI-00:00:49.100-00:00:52.390	G2tzMT1j0gI	00:00:49.100	00:00:52.390	There are many video platforms for remote work meetings.	there are many video platforms for remote work meetings		train
G2tzMT1j0gI-00:00:42.000-00:00:47.960	G2tzMT1j0gI	00:00:42.000	00:00:47.960	Keep in mind, your boss should make sure the CF has personal protective equipment (PPE) to use while at your home.	keep in mind your boss should make sure the cf has personal protective equipment ppe to use while at your home		train
G2tzMT1j0gI-00:00:29.460-00:00:42.000	G2tzMT1j0gI	00:00:29.460	00:00:42.000	If you are DeafBlind, perhaps you need large size captioning, a screenreader, or a Communication Facilitator (CF) to provide tactile interpreting.	if you are deafblind perhaps you need large size captioning a screenreader or a communication facilitator cf to provide tactile interpreting		train
DiuUsIp_HwQ-00:00:18.399-00:00:20.039	DiuUsIp_HwQ	00:00:18.399	00:00:20.039	I use the opportunity to engage with other NAD Board members and discuss current trends and issues.	i use the opportunity to engage with other nad board members and discuss current trends and issues		train
DiuUsIp_HwQ-00:00:12.400-00:00:18.399	DiuUsIp_HwQ	00:00:12.400	00:00:18.399	What I learn and take away from these meetings is so valuable that I cannot keep it to myself, so I always share them with the NAD Board.	what i learn and take away from these meetings is so valuable that i can not keep it to myself so i always share them with the nad board		train
DiuUsIp_HwQ-00:00:07.939-00:00:12.400	DiuUsIp_HwQ	00:00:07.939	00:00:12.400	I've gone to national, state, and local conferences and I've met many people.	i 've gone to national state and local conferences and i 've met many people		train
DiuUsIp_HwQ-00:00:02.000-00:00:07.939	DiuUsIp_HwQ	00:00:02.000	00:00:07.939	It's been over a year since I was elected President of the National Association of the Deaf (NAD), and I have learned so much since then!	it 's been over a year since i was elected president of the national association of the deaf nad and i have learned so much since then		train
DiuUsIp_HwQ-00:00:00.680-00:00:02.000	DiuUsIp_HwQ	00:00:00.680	00:00:02.000	Hello, I'm Melissa.	hello i 'm melissa		train
1Fcli9bH_X8-00:04:34.699-00:04:36.699	1Fcli9bH_X8	00:04:34.699	00:04:36.699	So, come and join us at NLTC!	so come and join us at nltc		train
1Fcli9bH_X8-00:04:20.000-00:04:34.600	1Fcli9bH_X8	00:04:20.000	00:04:34.600	Our next national training will take place during the NAD Leadership Training Conference (NLTC) in Omaha, Nebraska to take place October 3-5, 2013.	our next national training will take place during the nad leadership training conference (nltc in omaha nebraska to take place october 3-5, 2013		train
1Fcli9bH_X8-00:04:12.900-00:04:19.899	1Fcli9bH_X8	00:04:12.900	00:04:19.899	The NAD continues to provide more support and training for the Education Advocates in the community.	the nad continues to provide more support and training for the education advocates in the community		train
1Fcli9bH_X8-00:03:57.800-00:04:12.800	1Fcli9bH_X8	00:03:57.800	00:04:12.800	Parents also play an important role in this, and the Education Advocates are working with the American Society for Deaf Children (ASDC).	parents also play an important role in this and the education advocates are working with the american society for deaf children asdc		train
DiuUsIp_HwQ-00:00:20.039-00:00:21.059	DiuUsIp_HwQ	00:00:20.039	00:00:21.059	We exchange ideas together.	we exchange ideas together		train
1Fcli9bH_X8-00:03:46.650-00:03:57.699	1Fcli9bH_X8	00:03:46.650	00:03:57.699	The Education Advocates are committed to the NAD mission of protecting, preserving, and promoting quality education for all deaf and hard of hearing children.	the education advocates are committed to the nad mission of protecting preserving and promoting quality education for all deaf and hard of hearing children		train
1Fcli9bH_X8-00:03:16.500-00:03:30.599	1Fcli9bH_X8	00:03:16.500	00:03:30.599	The team meets every month to discuss NAD s various education priorities including those on bilingualism and Deaf Schools and mainstreamed programs.	the team meets every month to discuss nad s various education priorities including those on bilingualism and deaf schools and mainstreamed programs		train
1Fcli9bH_X8-00:02:55.199-00:03:16.400	1Fcli9bH_X8	00:02:55.199	00:03:16.400	The team consists of 14 experts in different fields in Education with different backgrounds such as Early Intervention, K-12 Education, and so on   this has never been done before.	the team consists of 14 experts in different fields in education with different backgrounds such as early intervention k-12 education and so on this has never been done before		train
1Fcli9bH_X8-00:02:49.150-00:02:55.150	1Fcli9bH_X8	00:02:49.150	00:02:55.150	The appointed Board member, Tawny Holmes is the chair of the EST.	the appointed board member tawny holmes is the chair of the est		train
1Fcli9bH_X8-00:02:39.099-00:02:49.099	1Fcli9bH_X8	00:02:39.099	00:02:49.099	The community expressed great concern about Deaf Education in the US which led to the result of the establishment of the EST.	the community expressed great concern about deaf education in the us which led to the result of the establishment of the est		train
1Fcli9bH_X8-00:02:34.000-00:02:39.000	1Fcli9bH_X8	00:02:34.000	00:02:39.000	I also want to share an update about the Education Strategy Team (EST).	i also want to share an update about the education strategy team est		train
1Fcli9bH_X8-00:02:25.699-00:02:33.800	1Fcli9bH_X8	00:02:25.699	00:02:33.800	Another idea is to have the NAD Headquarters provide web support for the State Associations this would give State Associations the opportunity to have the NAD help develop/manage their website which would save the costs for the State Associations.	another idea is to have the nad headquarters provide web support for the state associations this would give state associations the opportunity to have the nad help develop manage their website which would save the costs for the state associations		train
1Fcli9bH_X8-00:02:17.500-00:02:25.599	1Fcli9bH_X8	00:02:17.500	00:02:25.599	As part of this effort, we are working on a pilot program where we can develop a dual membership for members to join both their State Association and the NAD.	as part of this effort we are working on a pilot program where we can develop a dual membership for members to join both their state association and the nad		train
1Fcli9bH_X8-00:02:11.400-00:02:17.400	1Fcli9bH_X8	00:02:11.400	00:02:17.400	She is developing a relationship with the State Associations.	she is developing a relationship with the state associations		train
1Fcli9bH_X8-00:02:04.799-00:02:11.300	1Fcli9bH_X8	00:02:04.799	00:02:11.300	Lizzie Sorkin filled that position in early 2013.	lizzie sorkin filled that position in early 2013		train
1Fcli9bH_X8-00:03:37.599-00:03:46.599	1Fcli9bH_X8	00:03:37.599	00:03:46.599	I also want to share that our Education Advocates have expanded from 12 in 2012 to 33 states and three national organizations!	i also want to share that our education advocates have expanded from 12 in 2012 to 33 states and three national organizations		train
AKnhk5o_gB8-00:01:11.019-00:01:17.140	AKnhk5o_gB8	00:01:11.019	00:01:17.140	Federal agency responsible for ensuring compliance with Title III is the U.S. Department of Justice.	federal agency responsible for ensuring compliance with title iii is the u.s. department of justice		train
DiuUsIp_HwQ-00:00:21.059-00:00:22.820	DiuUsIp_HwQ	00:00:21.059	00:00:22.820	From there, the NAD Board members share the resources with others.	from there the nad board members share the resources with others		train
DiuUsIp_HwQ-00:00:24.660-00:00:31.219	DiuUsIp_HwQ	00:00:24.660	00:00:31.219	The second item I'd like to discuss is the amendments we wanted for the re-authorization of the EHDI Bill, the NAD s proposed amendments passed Congress!	the second item i 'd like to discuss is the amendments we wanted for the re authorization of the ehdi bill the nad s proposed amendments passed congress		train
G2tzMT1j0gI-00:00:22.539-00:00:29.460	G2tzMT1j0gI	00:00:22.539	00:00:29.460	If you are deaf and have a mobility disability, perhaps you need a CDI and an ASL interpreter.	if you are deaf and have a mobility disability perhaps you need a cdi and an asl interpreter		train
G2tzMT1j0gI-00:00:21.000-00:00:22.539	G2tzMT1j0gI	00:00:21.000	00:00:22.539	They should know what you need to be able to share your thoughts and to understand.	they should know what you need to be able to share your thoughts and to understand		train
G2tzMT1j0gI-00:00:05.879-00:00:11.220	G2tzMT1j0gI	00:00:05.879	00:00:11.220	As a remote employee who works from home, meetings look different.	as a remote employee who works from home meetings look different		train
NeHCc713PSM-00:00:31.437-00:00:32.399	NeHCc713PSM	00:00:31.437	00:00:32.399	It's fun!	it 's fun		train
NeHCc713PSM-00:00:20.120-00:00:31.437	NeHCc713PSM	00:00:20.120	00:00:31.437	You can print coloring pages from Dirty Beard Press, they have many coloring pages you can print or color digitally.	you can print coloring pages from dirty beard press they have many coloring pages you can print or color digitally		train
NeHCc713PSM-00:00:17.179-00:00:20.120	NeHCc713PSM	00:00:17.179	00:00:20.120	It's really fun way to think and color at the same time.	it 's really fun way to think and color at the same time		train
NeHCc713PSM-00:00:13.320-00:00:17.179	NeHCc713PSM	00:00:13.320	00:00:17.179	Download or print, color and keep yourself busy.	download or print color and keep yourself busy		train
NeHCc713PSM-00:00:08.240-00:00:13.320	NeHCc713PSM	00:00:08.240	00:00:13.320	If you don't have a printer, that's okay, you can use an iPad or your phone, and fill in the colors.	if you do n't have a printer that 's okay you can use an ipad or your phone and fill in the colors		train
NeHCc713PSM-00:00:00.000-00:00:08.240	NeHCc713PSM	00:00:00.000	00:00:08.240	Go ahead and print some designs, print a lot!	go ahead and print some designs print a lot		train
DiuUsIp_HwQ-00:00:22.820-00:00:24.660	DiuUsIp_HwQ	00:00:22.820	00:00:24.660	This is an important process.	this is an important process		train
DiuUsIp_HwQ-00:01:19.659-00:01:20.379	DiuUsIp_HwQ	00:01:19.659	00:01:20.379	Thank you.	thank you		train
DiuUsIp_HwQ-00:01:12.680-00:01:14.519	DiuUsIp_HwQ	00:01:12.680	00:01:14.519	That donation will not be the last.	that donation will not be the last		train
DiuUsIp_HwQ-00:01:07.799-00:01:12.680	DiuUsIp_HwQ	00:01:07.799	00:01:12.680	The NAD Board unanimously agreed to donate to the important cause.	the nad board unanimously agreed to donate to the important cause		train
DiuUsIp_HwQ-00:01:02.000-00:01:07.799	DiuUsIp_HwQ	00:01:02.000	00:01:07.799	Recently, a group contacted the NAD asking for financial support for deaf and hard of hearing survivors that experienced a disaster.	recently a group contacted the nad asking for financial support for deaf and hard of hearing survivors that experienced a disaster		train
DiuUsIp_HwQ-00:00:56.100-00:01:02.000	DiuUsIp_HwQ	00:00:56.100	00:01:02.000	The third item I'd like to discuss is about the NAD's disaster relief fund, which was established in 2001.	the third item i 'd like to discuss is about the nad 's disaster relief fund which was established in 2001		train
DiuUsIp_HwQ-00:00:50.460-00:00:56.100	DiuUsIp_HwQ	00:00:50.460	00:00:56.100	I remind you that this is not a one-time thing, we must continue to work together to be successful with future bills and achieve more.	i remind you that this is not a one time thing we must continue to work together to be successful with future bills and achieve more		train
DiuUsIp_HwQ-00:00:45.960-00:00:50.460	DiuUsIp_HwQ	00:00:45.960	00:00:50.460	Without your efforts, the amendments would not have passed.	without your efforts the amendments would not have passed		train
DiuUsIp_HwQ-00:00:37.420-00:00:45.960	DiuUsIp_HwQ	00:00:37.420	00:00:45.960	This is important because we asked for you to contact your Congressional representatives, and it was successful because of you and your contacting them!	this is important because we asked for you to contact your congressional representatives and it was successful because of you and your contacting them		train
DiuUsIp_HwQ-00:00:33.719-00:00:37.420	DiuUsIp_HwQ	00:00:33.719	00:00:37.420	Tawny will release a video soon discussing how these amendments succeeded with your support.	tawny will release a video soon discussing how these amendments succeeded with your support		train
DiuUsIp_HwQ-00:00:31.219-00:00:33.719	DiuUsIp_HwQ	00:00:31.219	00:00:33.719	The Bill now waits for the U.S. President to sign.	the bill now waits for the u.s. president to sign		train
DiuUsIp_HwQ-00:01:14.519-00:01:19.659	DiuUsIp_HwQ	00:01:14.519	00:01:19.659	We want you to be aware that the NAD has this fund, any time there is a disaster and deaf people need support, please contact the NAD to apply for funding from the disaster relief fund.	we want you to be aware that the nad has this fund any time there is a disaster and deaf people need support please contact the nad to apply for funding from the disaster relief fund		train
AKnhk5o_gB8-00:01:17.140-00:01:19.900	AKnhk5o_gB8	00:01:17.140	00:01:19.900	They have several duties when it comes to monitoring compliance with Title III.	they have several duties when it comes to monitoring compliance with title iii		train
AKnhk5o_gB8-00:01:19.900-00:01:28.719	AKnhk5o_gB8	00:01:19.900	00:01:28.719	First, they create and implement Title III regulations that expands on the ADA.	first they create and implement title iii regulations that expands on the ada		train
AKnhk5o_gB8-00:01:28.719-00:01:37.140	AKnhk5o_gB8	00:01:28.719	00:01:37.140	The DOJ has a complaint procedure where they accept complaints from people all over the country and investigate complaints.	the doj has a complaint procedure where they accept complaints from people all over the country and investigate complaints		train
jfdwjt7RzFU-00:10:14.940-00:10:27.039	jfdwjt7RzFU	00:10:14.940	00:10:27.039	For longer conversations, deaf and hard of hearing people should have ASL interpreters, captioning, or assistive listening systems.	for longer conversations deaf and hard of hearing people should have asl interpreters captioning or assistive listening systems		train
jfdwjt7RzFU-00:10:09.679-00:10:14.940	jfdwjt7RzFU	00:10:09.679	00:10:14.940	There are different ways to communicate while wearing a non-clear mask.	there are different ways to communicate while wearing a non clear mask		train
jfdwjt7RzFU-00:10:03.059-00:10:09.679	jfdwjt7RzFU	00:10:03.059	00:10:09.679	Be prepared to also use other ways to communicate.	be prepared to also use other ways to communicate		train
jfdwjt7RzFU-00:09:56.480-00:10:03.059	jfdwjt7RzFU	00:09:56.480	00:10:03.059	Clear face shields or clear masks should be used instead.	clear face shields or clear masks should be used instead		train
jfdwjt7RzFU-00:09:52.059-00:09:56.480	jfdwjt7RzFU	00:09:52.059	00:09:56.480	These masks cover most of the face and are not see-through, which makes it harder to communicate.	these masks cover most of the face and are not see through which makes it harder to communicate		train
jfdwjt7RzFU-00:09:50.100-00:09:52.059	jfdwjt7RzFU	00:09:50.100	00:09:52.059	Others use bandanas or other materials to cover their nose and mouth.	others use bandanas or other materials to cover their nose and mouth		train
jfdwjt7RzFU-00:09:48.179-00:09:50.100	jfdwjt7RzFU	00:09:48.179	00:09:50.100	Some people wear N-95 masks.	some people wear n-95 masks		train
jfdwjt7RzFU-00:09:41.860-00:09:48.179	jfdwjt7RzFU	00:09:41.860	00:09:48.179	Cloth or surgical masks are the most common.	cloth or surgical masks are the most common		train
jfdwjt7RzFU-00:09:37.299-00:09:41.860	jfdwjt7RzFU	00:09:37.299	00:09:41.860	Non-Clear Masks with Other Communication Strategies.	non-clear masks with other communication strategies		train
jfdwjt7RzFU-00:10:27.039-00:10:34.899	jfdwjt7RzFU	00:10:27.039	00:10:34.899	In other situations, like at a store or bank, there are different ways to communicate while wearing a non-clear mask.	in other situations like at a store or bank there are different ways to communicate while wearing a non clear mask		train
jfdwjt7RzFU-00:09:22.600-00:09:36.700	jfdwjt7RzFU	00:09:22.600	00:09:36.700	A person wearing a clear mask may sound unclear or muffled while wearing a clear mask; remember to speak more clearly and carefully.	a person wearing a clear mask may sound unclear or muffled while wearing a clear mask remember to speak more clearly and carefully		train
jfdwjt7RzFU-00:09:09.779-00:09:14.080	jfdwjt7RzFU	00:09:09.779	00:09:14.080	If there are no clear masks available, you can make your own at home.	if there are no clear masks available you can make your own at home		train
jfdwjt7RzFU-00:08:59.799-00:09:09.779	jfdwjt7RzFU	00:08:59.799	00:09:09.779	Sometimes too many people want clear masks, and the companies in Appendix A may not have enough clear masks to sell.	sometimes too many people want clear masks and the companies in appendix a may not have enough clear masks to sell		train
jfdwjt7RzFU-00:08:53.519-00:08:59.799	jfdwjt7RzFU	00:08:53.519	00:08:59.799	Appendix A lists different clear mask brands.	appendix a lists different clear mask brands		train
jfdwjt7RzFU-00:08:46.580-00:08:53.519	jfdwjt7RzFU	00:08:46.580	00:08:53.519	There are several companies who make clear masks but we do not endorse any specific clear masks.	there are several companies who make clear masks but we do not endorse any specific clear masks		train
jfdwjt7RzFU-00:08:40.039-00:08:46.580	jfdwjt7RzFU	00:08:40.039	00:08:46.580	These liquids are listed in Appendix A.	these liquids are listed in appendix a.		train
jfdwjt7RzFU-00:08:35.159-00:08:40.039	jfdwjt7RzFU	00:08:35.159	00:08:40.039	You can buy some liquids to help reduce the fogging.	you can buy some liquids to help reduce the fogging		train
jfdwjt7RzFU-00:08:28.740-00:08:35.159	jfdwjt7RzFU	00:08:28.740	00:08:35.159	Clear masks may also become fogged while wearing it.	clear masks may also become fogged while wearing it		train
jfdwjt7RzFU-00:08:22.579-00:08:28.740	jfdwjt7RzFU	00:08:22.579	00:08:28.740	Keep in mind, some clear masks still block parts of the face.	keep in mind some clear masks still block parts of the face		train
jfdwjt7RzFU-00:08:10.779-00:08:22.579	jfdwjt7RzFU	00:08:10.779	00:08:22.579	For communication access, clear masks are better than masks such as cloth masks, surgical masks, or N-95 masks.	for communication access clear masks are better than masks such as cloth masks surgical masks or n-95 masks		train
jfdwjt7RzFU-00:09:14.080-00:09:21.139	jfdwjt7RzFU	00:09:14.080	00:09:21.139	Appendix A shares different links that show how you can make your own.	appendix a shares different links that show how you can make your own		train
jfdwjt7RzFU-00:08:05.779-00:08:10.779	jfdwjt7RzFU	00:08:05.779	00:08:10.779	Clear Masks.	clear masks		train
jfdwjt7RzFU-00:10:34.899-00:10:37.779	jfdwjt7RzFU	00:10:34.899	00:10:37.779	People can type a message on their phone and show it to the other person.	people can type a message on their phone and show it to the other person		train
jfdwjt7RzFU-00:10:39.620-00:10:44.259	jfdwjt7RzFU	00:10:39.620	00:10:44.259	Other apps can do speech-to-text which automatically types out speech.	other apps can do speech to text which automatically types out speech		train
jfdwjt7RzFU-00:14:04.259-00:14:11.720	jfdwjt7RzFU	00:14:04.259	00:14:11.720	Allowing their employees to wear non-clear masks without any other access for deaf and hard of hearing employees puts employers at risk for a lawsuit.	allowing their employees to wear non clear masks without any other access for deaf and hard of hearing employees puts employers at risk for a lawsuit		train
